number;id;xscales;yscales
32;164c47bbcbd5b04286fb328de5856aca;0.37902957121930825,0.40351288437993627,0.44821374909489503,0.5134189117523159,0.5972663692198732,0.6926713639359637,0.7840146031089035,0.8477451529149664;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
33;cf81ff07d517b6afd7502217312e91bf;0.745563593643727,0.745563593643727,0.745563593643727,0.745563593643727,0.745563593643727,0.745563593643727,0.745563593643727,0.745563593643727;0.2805611396328135,0.26069202228686594,0.2265319960572432,0.18108022444788816,0.12915962992016902,0.07748603446596397,0.034084080266416635,0.0067643265796605186
34;a7442cb5ceb788b85f4541265c2d9228;0.4099881494399005,0.3858512943323772,0.3428702670447606,0.28257537983000347,0.2089553790435826,0.13011310394834652,0.0591170535681878,0.011980574060295412;0.4812207746743016,0.4812207746743016,0.4812207746743016,0.4812207746743016,0.4812207746743016,0.4812207746743016,0.4812207746743016,0.4812207746743016
35;50ba9f665df9dd61c85ab87c0f7bf910;0.018504164294402378,0.0889006262253357,0.1881942414797367,0.289937295901029,0.37774182087909497,0.44500658986367136,0.4906149000862575,0.5154236148707607;0.6130528525631932,0.6130528525631932,0.6130528525631932,0.6130528525631932,0.6130528525631932,0.6130528525631932,0.6130528525631932,0.6130528525631932
36;b566ef510113cd647bad3bc145e84e77;0.8048204158790168,0.8048204158790168,0.8048204158790168,0.8048204158790168,0.8048204158790168,0.8048204158790168,0.8048204158790168,0.8048204158790168;0.013451643193669392,0.06700698157993758,0.1496209452257168,0.24422427306459193,0.3354061213847559,0.4122237670646221,0.46820415950084165,0.5000990687449457
37;20c52bcb181589ad95c5f4b024558c61;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.9259121867840073,0.826590732473984,0.7012648633124896,0.5879302495031167,0.5004248939680537,0.4389579857260997,0.3997408114846881,0.37918401546743863
38;d7a5d6837f9c315aba8a4e349885aa83;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.07408781321599268,0.17340926752601596,0.2987351366875102,0.41206975049688316,0.4995751060319462,0.5610420142739002,0.6002591885153118,0.6208159845325613
39;56f06f7505611158c3d6ffe66ef4d247;0.9108084756805757,0.9108084756805757,0.9108084756805757,0.9108084756805757,0.9108084756805757,0.9108084756805757,0.9108084756805757,0.9108084756805757;0.059945296425287044,0.25164170227887084,0.45218541012338515,0.6032246029874653,0.7043839315268564,0.7687279147943437,0.8072227587222293,0.8266638789862975
40;a61fbc94b09baa0da2458d866f5caf64;0.7751942326900382,0.7118337791477749,0.6063121264178024,0.47222158040979295,0.327229112927659,0.19090118251295796,0.08207217531546553,0.01605928888669424;0.8542232162445579,0.8542232162445579,0.8542232162445579,0.8542232162445579,0.8542232162445579,0.8542232162445579,0.8542232162445579,0.8542232162445579
41;22be186f872f8cbaa523d21050dfa51f;0.577148087222174,0.577148087222174,0.577148087222174,0.577148087222174,0.577148087222174,0.577148087222174,0.577148087222174,0.577148087222174;0.5152956234141383,0.4921907822449759,0.44929489964024377,0.3850183066286526,0.2992468863668275,0.19711559550709853,0.0944814867368537,0.01987255577981143
42;cee371bd98b2759b60b742397718d489;0.4245962437681702,0.4245962437681702,0.4245962437681702,0.4245962437681702,0.4245962437681702,0.4245962437681702,0.4245962437681702,0.4245962437681702;0.40039045740581436,0.3726989223880564,0.32485848775551623,0.2607458409400342,0.18686046171226492,0.11263106609139627,0.04974056615107973,0.009896295701857525
43;bef983a4bb967c19d064e580e7e4f008;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.9134654159740251,0.8849959984708078,0.8344710862634206,0.7639606362072949,0.6784436545145965,0.5875555914493584,0.5063208694364281,0.4527019474329395
