n;subno;id;status
16;248;c013b2e788ec4d5aab83360795c80652;inside
16;249;e58095e4109b4d968e9188d1498f20b5;inside
16;250;eea4db1386924295a81a65132389ec85;inside
16;251;bce8f6cb345746e7b72c173c4c30faf7;inside
16;252;f7a100ea6ab547f9a32f4354ae3b4568;inside
16;253;d282ea66b43541ebabfb9b6d315b6494;inside
16;254;5edf755b67f54c85a43e4b83960d680c;inside
16;255;556c9dbe835b4440ab2e79c481d2e8c9;inside
16;256;fbde59b18bc64db1ad75564fa87631ca;inside
16;counts;inside=144;outside=96;partial=16
