n;subno;id;status;area
8;31;0a86c3bc379f4e70bb13ac8d9697047e;partial;0.0571814387245510218750000000000000000000000000000000000000000000
8;32;defaa6f8e7044b89afc7dc93e5239e38;partial;0.0593929428228398687500000000000000000000000000000000000000000000
8;33;9d76520d790641dea93edd82f8418049;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;34;00d4f5c94b254ccfabc7414c3c23a66d;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;35;be4ae97ebe694327b4acfa2551a8b95e;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;36;f58e7e5081ff4ebf8491b16fda0774d0;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;37;35079369b1a94d51977805c84e29ee30;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;38;11be42534d50442eb9eedb6f198a5e7f;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;39;a567567dff624c7db866aeffd3ecedb4;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;40;80bd3cb053ea453e8f4192ebef0ce575;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;41;484d3542cbcb4469ab462c42c5f45e8f;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;42;033a8352f43e4bea8dc871af4e46d811;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;43;add747aa20cc470292b6bbbf26f4a05b;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;44;fa0b035459e24ab484ac2de8f8903dd1;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;45;d51e8278afb84a6a8739ac451c68075e;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;46;7d125125a6184913b8286d448864d35c;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;47;79c94858683c4c039d566265ed500089;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;48;ddf3785af8cd4ecbb0bf36a849889967;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;49;70d8b9afd80e4cd0b65bb6bca9d895f9;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;50;13cf6aaef7834beea3d69e043968fe60;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;51;ba197b9640ed4e678b4ce43d5f919881;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;52;aaa3730f452548a2940be16e6b02d2d5;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;53;d0115185a52b46828b34690e3e3cf96a;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;54;9386c596c7974082bf5402c24a584cb0;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;55;4cb3b9dfb6ad4d3db5c29ea7ec267f89;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;56;808c452c56d0470bb8db028e8ce34d7e;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;57;d117aca6d3e244ae88de4e07ba867e56;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;58;9db7f2c1e6ca481288eb7a1f4b40d290;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;59;334986656d504061823e28a1a8e680fa;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;60;1095862196804196a4430cee6c92207a;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;61;4aaee0677a8041a59a2978f7bddb78d9;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;62;a2e405d403bd4c148f59888e560691ea;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;63;fc76bc95cd404d878b05716c8dc15a2c;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;64;27723765464243d7b69d9387bda1180a;inside;0.0625000000000000000000000000000000000000000000000000000000000000

n;total_area;inside_used;partial_used
1;2.4140040606848194000000000000000000000000000000000000000000000000;0;1
2;2.4140040606848195000000000000000000000000000000000000000000000000;2;2
4;2.4140040606848197625000000000000000000000000000000000000000000000;8;4
8;2.4140040606848196968750000000000000000000000000000000000000000000;32;8
