n;subno;id;status;area
8;61;ebb167dc2fe4472e8dc9a61b97b5a805;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;62;b1a6a974624340368633d23689ed24a6;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;63;23e6aef05f6247fb832f71a7681fa9b6;inside;0.0625000000000000000000000000000000000000000000000000000000000000
8;64;8cc88122bbca47c9bf509f0489173ff7;inside;0.0625000000000000000000000000000000000000000000000000000000000000
16;97;514fbb5d6cfd495e9972951507b8197c;partial;0.0061899526965966312500000000000000000000000000000000000000000000
16;98;1a7705328bd14458bf744a87f639dc4b;partial;0.0067500592519630328125000000000000000000000000000000000000000000
16;99;ab240b620e1348d081428e4d75e7e0fa;partial;0.0073051001938527343750000000000000000000000000000000000000000000
16;100;26bb3bff776e4f359f43f9cf8f3f9a2c;partial;0.0077958820819106375000000000000000000000000000000000000000000000
16;101;283a36c1584a47b7ab37f1e90b16d1f0;partial;0.0083293406456267539062500000000000000000000000000000000000000000
16;102;4ef2a7d807ac435298a1d11be4424110;partial;0.0088692031012324625000000000000000000000000000000000000000000000
16;103;5054a44d3cf04c0486376e6b042f60a0;partial;0.0094476783918521144531250000000000000000000000000000000000000000
16;104;62a4febc8be54cfcb320a2cf9b695a72;partial;0.0099556916978175285156250000000000000000000000000000000000000000
16;105;1b8d8e58dd884323ae6289673f4b3389;partial;0.0105216945459122199218750000000000000000000000000000000000000000
16;106;40c7e26bd5e642e692006e6f91859332;partial;0.0110550209736537578125000000000000000000000000000000000000000000
16;107;4d5d716df3f848f5a61d0680326a219f;partial;0.0115348280128116054687500000000000000000000000000000000000000000
16;108;13217a1002e946898cf74d43ba08b3c5;partial;0.0121398543975735769531250000000000000000000000000000000000000000
16;109;6c04ed35564b40009195bc80e1fd42ee;partial;0.0127378167195608214843750000000000000000000000000000000000000000
16;110;d8c6fda5292c4cceae95cc64dc548473;partial;0.0132253729900275976562500000000000000000000000000000000000000000
16;111;a8731940371f4c4db081dd0ba0adb195;partial;0.0138859554844074343750000000000000000000000000000000000000000000
16;112;998a9fcaaa62445dbf7358811848947b;partial;0.0143688616040194453125000000000000000000000000000000000000000000
16;113;af087351717c48548c18597a592b6fdb;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;114;4d9526b04a9f466b81f72547992d525b;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;115;14a9b16e896b43debb5f71f676c319d9;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;116;9c9d08e2844046c3b3529b8517d1be0d;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;117;499ea531b41549d3a1e132986be1e30b;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;118;88a5ebcaaad445fb857e1877561a8da4;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;119;0592652b79b8416791f3669aba220e24;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;120;5aa99153bbc24fcb86059e7ec0401406;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;121;e31d41f90ede4d5eb107f0bb7bea9220;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;122;2914ebb1ad524798b5571e427fb4f778;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;123;d4b88c6c72e44f27a812d4f99af7d4c5;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;124;51e579fd94b6487bbaf901b2738288cd;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;125;8f122151fe1b4d4493cd4a4045824fe1;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;126;0b8cc556233749a588af37218c6766ff;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;127;69d6e7fd51d0453e93f4dda99bd9887f;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;128;f37fe26c292743118f2251ee5aa52d16;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;129;f7c2e38fb556472bbb532a94588a98de;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;130;805297433920416b8d2f31e51c50dc06;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;131;fa11115ac69d4737b5936d0f75aebdf7;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;132;40d32f1b24e74fa99b3bb30a59fff480;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;133;45866932b06445dc89d947d15a3503da;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;134;b233693093a14765ace348baddfdee5d;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;135;b5fbfd5d78a249198c08b58ee5b87cce;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;136;3b8fa10de6e2407e9cd53f8c64758ac5;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;137;daf9231fe54647c888c197cb9a7351e4;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;138;b826839284654548b79a4df97778ae8a;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;139;d4ec168ad1cf455aad08639baca5917b;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;140;11e8f61c07914b93a0a892e2cc540960;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;141;f735efd72a3a461bbb5c599425ffdfe1;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;142;95255afeb0f043a69cfa13aa3e46d875;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;143;9c22eb93122d4fd9837438ffe070f37f;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;144;7e1877ce51a346b69a25660fb7f77183;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;145;a90c5f37cb5c4fffa5e18ba6a8fc080a;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;146;1a5fa58770fe41a6a4bf4afec951fb8a;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;147;3764aaef86bb495ebddde2e8d6a421c6;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;148;ec995dd852c5431f8285a044596baf38;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;149;b0e4fd5f5cfb4650be9ffaeb59dcc0f7;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;150;6999b1c876ae4e63a492d8c9e3c3dae1;inside;0.0156250000000000000000000000000000000000000000000000000000000000
16;151;7031f3b4bd6247abbca7e3d28b2413d9;inside;0.0156250000000000000000000000000000000000000000000000000000000000
