number;id;xscales;yscales;xcenters;ycenters
11;372a56cac67dbaa6ce4091cd1fdc1159;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.41991951287169477,0.44121957017010166,0.48013510260623554,0.5369628201373478,0.6101453700408753,0.6935630915194205,0.7735771072315061,0.8294889998114924;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;0.5800804871283052,0.5587804298298982,0.5198648973937644,0.46303717986265225,0.3898546299591247,0.3064369084805795,0.22642289276849392,0.17051100018850757
12;c2f7797bc14d819a0c24c6b87c4e0a1c;0.6898265048464605,0.6898265048464605,0.6898265048464605,0.6898265048464605,0.6898265048464605,0.6898265048464605,0.6898265048464605,0.6898265048464605;0.009051282596696927,0.044818162305257515,0.09916187238007493,0.16018654491998627,0.21782130361668364,0.26550093632613553,0.2997547815188079,0.31908856868984253;0.31017349515353926,0.31017349515353926,0.31017349515353926,0.31017349515353926,0.31017349515353926,0.31017349515353926,0.31017349515353926,0.31017349515353926;0.9909487174033031,0.9551818376947425,0.900838127619925,0.8398134550800137,0.7821786963833164,0.7344990636738644,0.700245218481192,0.6809114313101574
13;e4666d7885f2f45be9f58617a3839c55;0.6112425896079019,0.5876890824163542,0.5431255321742157,0.4742411549402182,0.3781512686123591,0.25702650099915714,0.127272939702637,0.027429197631209063;0.8998287307488051,0.8998287307488051,0.8998287307488051,0.8998287307488051,0.8998287307488051,0.8998287307488051,0.8998287307488051,0.8998287307488051;-0.38875741039209794,-0.41231091758364574,-0.45687446782578434,-0.5257588450597818,-0.6218487313876409,-0.7429734990008429,-0.872727060297363,-0.9725708023687909;-0.1001712692511948,-0.1001712692511948,-0.1001712692511948,-0.1001712692511948,-0.1001712692511948,-0.1001712692511948,-0.1001712692511948,-0.1001712692511948
14;b82cb4a2b13b42c5d4a9a76d868c5d30;0.3120690070850749,0.2930238069032198,0.2593248386087646,0.2125100992332553,0.15606410561509607,0.09646837707227439,0.04354397316620477,0.008786417903321546;0.4712659763037593,0.4712659763037593,0.4712659763037593,0.4712659763037593,0.4712659763037593,0.4712659763037593,0.4712659763037593,0.4712659763037593;-0.6879309929149251,-0.7069761930967802,-0.7406751613912355,-0.7874899007667446,-0.843935894384904,-0.9035316229277257,-0.9564560268337952,-0.9912135820966785;-0.5287340236962407,-0.5287340236962407,-0.5287340236962407,-0.5287340236962407,-0.5287340236962407,-0.5287340236962407,-0.5287340236962407,-0.5287340236962407
15;c7a14376ff2627413a7afdb816ee5572;0.8088934034015546,0.8088934034015546,0.8088934034015546,0.8088934034015546,0.8088934034015546,0.8088934034015546,0.8088934034015546,0.8088934034015546;0.019501823735625923,0.09295051100860297,0.1945902415659563,0.2964302503510092,0.3825004239634682,0.44732884794780325,0.4907503479281364,0.5141907235495731;0.1911065965984452,0.1911065965984452,0.1911065965984452,0.1911065965984452,0.1911065965984452,0.1911065965984452,0.1911065965984452,0.1911065965984452;0.980498176264374,0.9070494889913969,0.8054097584340436,0.7035697496489908,0.6174995760365319,0.5526711520521966,0.5092496520718636,0.48580927645042704
16;a17c9d2e4ea7cce7a03918940cb72d87;0.12648997440076,0.11700721830698319,0.10090042591122246,0.079846172488426,0.05630663133741849,0.03340294893576444,0.014556707720898588,0.0028721439565873143;0.4153767678769331,0.4153767678769331,0.4153767678769331,0.4153767678769331,0.4153767678769331,0.4153767678769331,0.4153767678769331,0.4153767678769331;-0.8735100255992401,-0.8829927816930168,-0.8990995740887775,-0.9201538275115739,-0.9436933686625815,-0.9665970510642357,-0.9854432922791014,-0.9971278560434127;-0.5846232321230669,-0.5846232321230669,-0.5846232321230669,-0.5846232321230669,-0.5846232321230669,-0.5846232321230669,-0.5846232321230669,-0.5846232321230669
17;d867dcf7063faaeb15b41bc2985ce00b;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.413037913588837,0.4102605665455686,0.4056330304474276,0.3997488625266315,0.39338153747432897,0.3873901994128262,0.3826042394214845,0.37969983742753133;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;-0.586962086411163,-0.5897394334544314,-0.5943669695525724,-0.6002511374733684,-0.6066184625256711,-0.6126098005871737,-0.6173957605785154,-0.6203001625724687
18;0a96c8d6dc0ed2d3d4032f3df7e72eef;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.586962086411163,0.5897394334544314,0.5943669695525724,0.6002511374733683,0.6066184625256709,0.6126098005871737,0.6173957605785154,0.6203001625724687;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;0.41303791358883707,0.41026056654556853,0.4056330304474276,0.3997488625266315,0.3933815374743288,0.3873901994128262,0.3826042394214845,0.37969983742753133
19;1917fa1202fd8f18b45641f183544c2f;0.00670877521213326,0.0335705914011038,0.07549001030416182,0.12422658302256012,0.17195905671954523,0.21276320593735729,0.24284621501484577,0.2601188667403633;0.2847364074927201,0.2847364074927201,0.2847364074927201,0.2847364074927201,0.2847364074927201,0.2847364074927201,0.2847364074927201,0.2847364074927201;0.9932912247878668,0.9664294085988963,0.9245099896958381,0.8757734169774398,0.8280409432804547,0.7872367940626427,0.7571537849851542,0.7398811332596366;0.7152635925072799,0.7152635925072799,0.7152635925072799,0.7152635925072799,0.7152635925072799,0.7152635925072799,0.7152635925072799,0.7152635925072799
20;8975ef7df607253689476eae7028baf9;0.04521389372655404,0.19818451864969167,0.37337841839553215,0.5169561758158193,0.6193567003967857,0.6873098204191093,0.7290685817263539,0.7504825964983141;0.7754128090941053,0.7754128090941053,0.7754128090941053,0.7754128090941053,0.7754128090941053,0.7754128090941053,0.7754128090941053,0.7754128090941053;0.9547861062734458,0.8018154813503082,0.6266215816044677,0.4830438241841807,0.3806432996032142,0.3126901795808906,0.270931418273646,0.24951740350168597;0.22458719090589463,0.22458719090589463,0.22458719090589463,0.22458719090589463,0.22458719090589463,0.22458719090589463,0.22458719090589463,0.22458719090589463
21;96ddb7ad56e07aa198b48366f12c121a;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.8049908055198136,0.757141365465809,0.6810589094373971,0.5903711832728852,0.49913447400613914,0.419169801570612,0.35901243938692107,0.3239988595783583;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;-0.19500919448018633,-0.242858634534191,-0.3189410905626028,-0.4096288167271147,-0.5008655259938609,-0.580830198429388,-0.6409875606130789,-0.6760011404216417
22;1ebda8d24d83ec4312619f4fe54d034f;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.19500919448018636,0.2428586345341909,0.3189410905626028,0.40962881672711465,0.5008655259938608,0.5808301984293879,0.6409875606130789,0.6760011404216416;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;0.8049908055198135,0.757141365465809,0.6810589094373972,0.5903711832728853,0.4991344740061392,0.41916980157061196,0.35901243938692107,0.3239988595783584
23;9e71237cdf2f4382f6a710dd85355af3;0.003023184373177908,0.01538332508093571,0.035528312168262625,0.060364269882509806,0.08630358962689227,0.10986811542970687,0.12813224322574043,0.13898276502328533;0.26731141738318526,0.26731141738318526,0.26731141738318526,0.26731141738318526,0.26731141738318526,0.26731141738318526,0.26731141738318526,0.26731141738318526;0.9969768156268222,0.9846166749190643,0.9644716878317374,0.9396357301174902,0.9136964103731078,0.8901318845702931,0.8718677567742597,0.8610172349767147;0.7326885826168147,0.7326885826168147,0.7326885826168147,0.7326885826168147,0.7326885826168147,0.7326885826168147,0.7326885826168147,0.7326885826168147
