number;id;xscales;yscales;xcenters;ycenters
47;b50137aa85ff9cebed4f27b82f3a07d3;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.2503243605489252,0.27624937743262973,0.3232866474803914,0.39122271505230416,0.4774212456528718,0.5739475517255764,0.6648512419449965,0.7274176095602845;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;0.7496756394510746,0.7237506225673702,0.6767133525196085,0.6087772849476958,0.5225787543471282,0.42605244827442346,0.33514875805500344,0.27258239043971555
48;3124aa9874a34a85e02806c753e10197;0.4843603714854677,0.4615086314590419,0.4193783585305854,0.35695865539391053,0.27496435249017387,0.17921774682203534,0.08500524544309436,0.017744630114111672;0.545722988934477,0.545722988934477,0.545722988934477,0.545722988934477,0.545722988934477,0.545722988934477,0.545722988934477,0.545722988934477;-0.5156396285145323,-0.5384913685409581,-0.5806216414694145,-0.6430413446060894,-0.7250356475098261,-0.8207822531779647,-0.9149947545569056,-0.9822553698858884;-0.454277011065523,-0.454277011065523,-0.454277011065523,-0.454277011065523,-0.454277011065523,-0.454277011065523,-0.454277011065523,-0.454277011065523
49;4515cd68e1685a674cb064a9c0db25be;0.005728011691836329,0.028660020078145384,0.06443764236617672,0.10601966272823855,0.14673046042569568,0.18152073282449321,0.20716326834640436,0.22188377252358168;0.3439902210348562,0.3439902210348562,0.3439902210348562,0.3439902210348562,0.3439902210348562,0.3439902210348562,0.3439902210348562,0.3439902210348562;0.9942719883081637,0.9713399799218546,0.9355623576338233,0.8939803372717614,0.8532695395743044,0.8184792671755068,0.7928367316535956,0.7781162274764182;0.6560097789651436,0.6560097789651436,0.6560097789651436,0.6560097789651436,0.6560097789651436,0.6560097789651436,0.6560097789651436,0.6560097789651436
50;c4bdbafa0bd0537d5545063ddc66fce6;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.9242558867133747,0.8956304245529454,0.8466962167669837,0.7821301838867722,0.7091239980904263,0.6372459939044968,0.5774666515358007,0.5401120670209301;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;-0.07574411328662523,-0.10436957544705444,-0.15330378323301624,-0.2178698161132276,-0.29087600190957374,-0.3627540060955032,-0.4225333484641993,-0.4598879329790699
51;f3b0a2f77790ea4243ffc97965eb7886;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.0757441132866252,0.10436957544705444,0.15330378323301622,0.2178698161132276,0.29087600190957374,0.3627540060955032,0.42253334846419927,0.4598879329790698;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;0.9242558867133748,0.8956304245529456,0.8466962167669838,0.7821301838867725,0.7091239980904264,0.6372459939044967,0.5774666515358007,0.5401120670209302
52;731f86245b060eb2f33a6d1ab288df7c;0.40511861606938,0.40511861606938,0.40511861606938,0.40511861606938,0.40511861606938,0.40511861606938,0.40511861606938,0.40511861606938;0.008451112533847966,0.04193128251859821,0.09306145152070862,0.15085577975633932,0.20581072642802828,0.25154849326809464,0.28456224594463186,0.30325363615167555;0.59488138393062,0.59488138393062,0.59488138393062,0.59488138393062,0.59488138393062,0.59488138393062,0.59488138393062,0.59488138393062;0.9915488874661521,0.9580687174814018,0.9069385484792913,0.8491442202436607,0.7941892735719718,0.7484515067319054,0.715437754055368,0.6967463638483246
53;17bc027a657a24adc2720d3b5060bcb0;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.6043752865324726,0.5912766949111574,0.5693563988446999,0.5413092435837822,0.5107370693031973,0.4817571156116852,0.458457606443937,0.4442526299742043;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;-0.39562471346752726,-0.4087233050888425,-0.43064360115530015,-0.4586907564162178,-0.48926293069680277,-0.5182428843883148,-0.541542393556063,-0.5557473700257957
54;bc41a9d7ae8c93334716330a896fc71d;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.3956247134675272,0.40872330508884247,0.43064360115530015,0.45869075641621776,0.4892629306968027,0.5182428843883146,0.541542393556063,0.5557473700257956;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;0.6043752865324727,0.5912766949111575,0.5693563988446999,0.5413092435837822,0.5107370693031973,0.48175711561168516,0.45845760644393707,0.44425262997420434
55;0ff3b68ec2ae3ac476c09c32bda6ba35;0.8114635704952626,0.7586031431612763,0.6801560737146307,0.5946477327144376,0.516289684437749,0.45315607669122837,0.40871196154708284,0.38395490018476525;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;-0.18853642950473737,-0.24139685683872367,-0.3198439262853693,-0.40535226728556245,-0.48371031556225097,-0.5468439233087716,-0.5912880384529171,-0.6160450998152347;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56;88c05c1d492fb317bf8a2e1984f14cf7;0.1885364295047373,0.24139685683872364,0.3198439262853693,0.4053522672855624,0.4837103155622509,0.5468439233087716,0.591288038452917,0.6160450998152346;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.8114635704952626,0.7586031431612763,0.6801560737146308,0.5946477327144376,0.516289684437749,0.45315607669122837,0.4087119615470829,0.38395490018476525;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57;ddd48a2a79924b6986956ac59bdee1ad;0.46603355146533937,0.44602682084088424,0.4093831050810276,0.3556603097172855,0.2861019244164023,0.2062966863885733,0.12922351723925318,0.0750591405563707;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;-0.5339664485346606,-0.5539731791591157,-0.5906168949189724,-0.6443396902827144,-0.7138980755835976,-0.7937033136114268,-0.8707764827607467,-0.9249408594436292;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58;722810ebcdc4219799512ce35d381e94;0.5339664485346604,0.5539731791591157,0.5906168949189722,0.6443396902827144,0.7138980755835976,0.7937033136114268,0.8707764827607467,0.9249408594436292;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.46603355146533937,0.4460268208408843,0.4093831050810275,0.3556603097172855,0.2861019244164023,0.20629668638857318,0.12922351723925313,0.0750591405563707;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59;92d55a1ea0cc01f1c16467d416a937f9;0.03500611863841642,0.15805568133308137,0.30839804041663943,0.4398469631037808,0.5385400727832661,0.6064597506798357,0.649203130630438,0.6714274455179321;0.7490661075563428,0.7490661075563428,0.7490661075563428,0.7490661075563428,0.7490661075563428,0.7490661075563428,0.7490661075563428,0.7490661075563428;0.9649938813615836,0.8419443186669187,0.6916019595833605,0.5601530368962191,0.46145992721673385,0.39354024932016407,0.350796869369562,0.3285725544820679;0.2509338924436574,0.2509338924436574,0.2509338924436574,0.2509338924436574,0.2509338924436574,0.2509338924436574,0.2509338924436574,0.2509338924436574
60;a10d98a28ca9db9366b473da2bf16297;0.9674798641185607,0.8935982589000474,0.7819719612693131,0.6575174443716874,0.5408364903834944,0.4449346578783822,0.37638355366063414,0.3378185486221808;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;-0.03252013588143926,-0.10640174109995248,-0.21802803873068682,-0.34248255562831265,-0.4591635096165057,-0.5550653421216177,-0.6236164463393659,-0.6621814513778191;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61;043616055292b7b76acaabf976759f08;0.032520135881439274,0.10640174109995248,0.2180280387306868,0.34248255562831253,0.45916350961650565,0.5550653421216176,0.6236164463393657,0.6621814513778188;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.9674798641185608,0.8935982589000475,0.7819719612693132,0.6575174443716874,0.5408364903834944,0.4449346578783823,0.3763835536606341,0.33781854862218086;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62;5ea66817f942ed3b8ab166bb9c3ba12f;0.7551694776965028,0.7108615247724036,0.6364324876482833,0.540684753702754,0.4356523404338684,0.3354438335178239,0.25441722709297415,0.20481509202497075;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;-0.2448305223034972,-0.28913847522759634,-0.36356751235171664,-0.45931524629724596,-0.5643476595661314,-0.664556166482176,-0.7455827729070258,-0.7951849079750293;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63;b91f7d4f3d6e90ca1169e596791c6dca;0.24483052230349722,0.2891384752275963,0.36356751235171647,0.4593152462972459,0.5643476595661314,0.6645561664821759,0.7455827729070257,0.7951849079750293;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.7551694776965029,0.7108615247724037,0.6364324876482833,0.540684753702754,0.4356523404338684,0.33544383351782386,0.25441722709297415,0.20481509202497078;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64;f87f0151b2214ee42e60ecdd15d0bcb2;0.8292226266683403,0.8292226266683403,0.8292226266683403,0.8292226266683403,0.8292226266683403,0.8292226266683403,0.8292226266683403,0.8292226266683403;0.03723050191080382,0.16959148722453157,0.3345357934502661,0.48174485734106404,0.5941580658700376,0.6724809439742677,0.7221793389162208,0.7481456929886964;0.17077737333165954,0.17077737333165954,0.17077737333165954,0.17077737333165954,0.17077737333165954,0.17077737333165954,0.17077737333165954,0.17077737333165954;0.9627694980891962,0.8304085127754683,0.6654642065497339,0.5182551426589359,0.4058419341299624,0.3275190560257323,0.2778206610837792,0.2518543070113035
65;3eb646bd268db4de11afd95bf548ecaa;0.08573403761444735,0.07849608510808034,0.06653547579090567,0.05150308953109189,0.03545448076365365,0.02055645059138511,0.008794438143199905,0.0017157465102746535;0.16346251206620696,0.16346251206620696,0.16346251206620696,0.16346251206620696,0.16346251206620696,0.16346251206620696,0.16346251206620696,0.16346251206620696;-0.9142659623855527,-0.9215039148919197,-0.9334645242090944,-0.948496910468908,-0.9645455192363463,-0.9794435494086149,-0.9912055618568001,-0.9982842534897254;-0.836537487933793,-0.836537487933793,-0.836537487933793,-0.836537487933793,-0.836537487933793,-0.836537487933793,-0.836537487933793,-0.836537487933793
66;02eb47b05052e2c3d4daca8647b7d68e;0.0634302077199298,0.0634302077199298,0.0634302077199298,0.0634302077199298,0.0634302077199298,0.0634302077199298,0.0634302077199298,0.0634302077199298;0.0009779910383290464,0.0050043258147471235,0.011664113373159778,0.020045500032118555,0.02900728781523768,0.03733936016244377,0.04392625534911373,0.04789413637400015;0.9365697922800701,0.9365697922800701,0.9365697922800701,0.9365697922800701,0.9365697922800701,0.9365697922800701,0.9365697922800701,0.9365697922800701;0.999022008961671,0.9949956741852528,0.9883358866268401,0.9799544999678814,0.9709927121847624,0.9626606398375562,0.9560737446508863,0.9521058636259998
67;66dc3f35dd08f2cd0316cdf1bcc43fa6;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.6551284338413231,0.6123247027656658,0.5478530096860947,0.4762539647710318,0.40939535757509227,0.35463657458201353,0.31560112491639575,0.2936796894506932;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;-0.3448715661586769,-0.38767529723433414,-0.4521469903139053,-0.5237460352289681,-0.5906046424249077,-0.6453634254179865,-0.6843988750836042,-0.7063203105493068
68;4c1cd81676520082469f5b61898429a0;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.34487156615867687,0.3876752972343341,0.4521469903139052,0.523746035228968,0.5906046424249074,0.6453634254179864,0.6843988750836041,0.7063203105493067;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0;0.6551284338413231,0.6123247027656659,0.5478530096860946,0.4762539647710319,0.40939535757509227,0.3546365745820135,0.3156011249163958,0.29367968945069317
69;3fcff45cdb5d88e46f5a3a13983bfb63;0.6775141690066883,0.6395488474317697,0.5713736372988435,0.4744865299823958,0.35416506480858856,0.22277504527131586,0.10215339343137425,0.02083004307045694;0.6978473697797721,0.6978473697797721,0.6978473697797721,0.6978473697797721,0.6978473697797721,0.6978473697797721,0.6978473697797721,0.6978473697797721;-0.32248583099331174,-0.3604511525682302,-0.4286263627011564,-0.5255134700176041,-0.6458349351914114,-0.7772249547286841,-0.8978466065686257,-0.9791699569295431;-0.30215263022022776,-0.30215263022022776,-0.30215263022022776,-0.30215263022022776,-0.30215263022022776,-0.30215263022022776,-0.30215263022022776,-0.30215263022022776
70;f250352716bf4bf8e724340fcd1a211f;0.4568015820724443,0.434517149357359,0.3936288974704608,0.3335124850465421,0.2553727084995331,0.1652978100442297,0.07787325386088667,0.016177829554845827;0.6487903225806451,0.6487903225806451,0.6487903225806451,0.6487903225806451,0.6487903225806451,0.6487903225806451,0.6487903225806451,0.6487903225806451;-0.5431984179275556,-0.5654828506426409,-0.6063711025295392,-0.6664875149534579,-0.7446272915004668,-0.8347021899557703,-0.9221267461391133,-0.9838221704451542;-0.35120967741935494,-0.35120967741935494,-0.35120967741935494,-0.35120967741935494,-0.35120967741935494,-0.35120967741935494,-0.35120967741935494,-0.35120967741935494
71;efe0829aba793524eac68ab4716dd7a2;0.6013735859256548,0.5700361125602177,0.5142541129401308,0.43604769474161875,0.34063048885736175,0.2385334152283441,0.14667514978196106,0.0857285450753692;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;-0.3986264140743452,-0.4299638874397822,-0.4857458870598692,-0.5639523052583812,-0.6593695111426383,-0.761466584771656,-0.8533248502180388,-0.9142714549246308;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72;8c47dd112252c6fa7a88de325de76a68;0.39862641407434507,0.42996388743978214,0.48574588705986904,0.563952305258381,0.6593695111426382,0.761466584771656,0.8533248502180386,0.9142714549246308;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.6013735859256548,0.5700361125602178,0.5142541129401308,0.4360476947416188,0.3406304888573617,0.2385334152283441,0.14667514978196095,0.0857285450753692;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73;b37889c15a1ebc760ffd20eef10fe098;0.39438431057317486,0.37313275309180083,0.3347267477092472,0.2796000107243187,0.21023163352985058,0.13330829354318874,0.06158571673727254,0.012621563805565655;0.6153114546209851,0.6153114546209851,0.6153114546209851,0.6153114546209851,0.6153114546209851,0.6153114546209851,0.6153114546209851,0.6153114546209851;-0.6056156894268252,-0.6268672469081992,-0.6652732522907528,-0.7203999892756814,-0.7897683664701494,-0.8666917064568113,-0.9384142832627275,-0.9873784361944344;-0.38468854537901487,-0.38468854537901487,-0.38468854537901487,-0.38468854537901487,-0.38468854537901487,-0.38468854537901487,-0.38468854537901487,-0.38468854537901487
74;2b8f9bdf4dcbc51156dd8bec51c89107;0.945548941114157,0.9075383200570365,0.8471213356066187,0.7751405798235195,0.7027616515984708,0.6393558966530716,0.5916748470308635,0.5639304225312939;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;-0.05445105888584295,-0.09246167994296339,-0.1528786643933811,-0.22485942017648053,-0.2972383484015292,-0.3606441033469285,-0.4083251529691365,-0.4360695774687061;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75;b30d09cf8ecf90ca944eb552a0e247b7;0.054451058885842896,0.09246167994296338,0.15287866439338116,0.22485942017648042,0.2972383484015291,0.3606441033469284,0.4083251529691364,0.436069577468706;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.9455489411141571,0.9075383200570366,0.8471213356066187,0.7751405798235195,0.7027616515984708,0.6393558966530716,0.5916748470308635,0.5639304225312939;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76;d59209aa52dc5f85f89cb91d2a0d09ad;0.6693758429092853,0.6533664441580302,0.627226076507246,0.5949170222365188,0.5610759834603122,0.5302472179550319,0.5062963084582598,0.49204389921026936;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;-0.3306241570907147,-0.3466335558419697,-0.3727739234927539,-0.40508297776348123,-0.4389240165396879,-0.46975278204496795,-0.49370369154174026,-0.5079561007897305;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77;4241b712bf08fde7eef6dd8788ea8be0;0.3306241570907147,0.34663355584196975,0.3727739234927538,0.4050829777634812,0.4389240165396879,0.4697527820449679,0.49370369154174004,0.5079561007897306;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.6693758429092854,0.6533664441580301,0.627226076507246,0.5949170222365188,0.5610759834603122,0.530247217955032,0.5062963084582598,0.4920438992102695;0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78;cbdec2d80700aca54a81954e6b6c0d78;0.33565442317640953,0.33565442317640953,0.33565442317640953,0.33565442317640953,0.33565442317640953,0.33565442317640953,0.33565442317640953,0.33565442317640953;0.008121472660668113,0.04051580426558293,0.09067625969138621,0.1484001364528511,0.20432532887550697,0.2516622035244413,0.28628722087779057,0.3060635669886631;0.6643455768235903,0.6643455768235903,0.6643455768235903,0.6643455768235903,0.6643455768235903,0.6643455768235903,0.6643455768235903,0.6643455768235903;0.9918785273393318,0.9594841957344171,0.9093237403086137,0.8515998635471489,0.7956746711244929,0.7483377964755585,0.7137127791222094,0.6939364330113368
